Freq(Hz), SPL(dB), Phase(degrees)
9.888, 69.112, -173.334
10.254, 69.725, -179.086
10.620, 70.292, 175.334
10.986, 70.817, 169.917
11.353, 71.302, 164.659
11.719, 71.749, 159.553
12.085, 72.160, 154.595
12.451, 72.536, 149.782
12.817, 72.881, 145.114
13.184, 73.194, 140.590
13.550, 73.480, 136.208
13.916, 73.740, 131.968
14.282, 73.975, 127.868
14.648, 74.187, 123.904
15.015, 74.379, 120.074
15.381, 74.551, 116.375
15.747, 74.706, 112.805
16.113, 74.844, 109.361
16.479, 74.968, 106.038
16.846, 75.078, 102.834
17.212, 75.177, 99.743
17.578, 75.264, 96.761
17.944, 75.341, 93.883
18.311, 75.408, 91.107
18.677, 75.468, 88.426
19.043, 75.519, 85.839
19.409, 75.564, 83.341
19.775, 75.602, 80.928
20.142, 75.635, 78.597
20.508, 75.663, 76.344
20.874, 75.686, 74.164
21.240, 75.705, 72.055
21.606, 75.720, 70.013
21.973, 75.732, 68.035
22.339, 75.741, 66.119
22.705, 75.746, 64.261
23.071, 75.749, 62.459
23.438, 75.750, 60.711
23.804, 75.748, 59.014
24.170, 75.745, 57.365
24.536, 75.739, 55.763
24.902, 75.733, 54.204
25.269, 75.724, 52.688
25.635, 75.714, 51.213
26.001, 75.703, 49.777
26.367, 75.690, 48.378
26.733, 75.676, 47.015
27.100, 75.662, 45.686
27.466, 75.646, 44.390
27.832, 75.630, 43.125
28.198, 75.613, 41.891
28.564, 75.595, 40.685
28.931, 75.576, 39.508
29.297, 75.557, 38.358
29.663, 75.537, 37.233
30.029, 75.516, 36.133
30.396, 75.495, 35.057
30.762, 75.474, 34.004
31.128, 75.452, 32.974
31.494, 75.430, 31.965
31.860, 75.407, 30.977
32.227, 75.384, 30.009
32.593, 75.361, 29.061
32.959, 75.337, 28.130
33.325, 75.313, 27.218
33.691, 75.288, 26.324
34.058, 75.264, 25.447
34.424, 75.239, 24.586
34.790, 75.214, 23.741
35.156, 75.188, 22.911
35.522, 75.163, 22.097
35.889, 75.137, 21.297
36.255, 75.111, 20.510
36.621, 75.085, 19.738
36.987, 75.059, 18.978
37.354, 75.032, 18.232
37.720, 75.005, 17.497
38.086, 74.979, 16.775
38.452, 74.952, 16.065
38.818, 74.925, 15.367
39.185, 74.897, 14.680
39.551, 74.870, 14.004
39.917, 74.843, 13.338
40.283, 74.815, 12.682
40.649, 74.788, 12.036
41.016, 74.760, 11.400
41.382, 74.732, 10.774
41.748, 74.704, 10.157
42.114, 74.676, 9.550
42.480, 74.648, 8.952
42.847, 74.620, 8.362
43.213, 74.592, 7.781
43.579, 74.564, 7.208
43.945, 74.536, 6.643
44.312, 74.508, 6.086
44.678, 74.479, 5.536
45.044, 74.451, 4.993
45.410, 74.422, 4.459
45.776, 74.394, 3.932
46.143, 74.365, 3.413
46.509, 74.336, 2.900
46.875, 74.308, 2.394
47.241, 74.279, 1.894
47.607, 74.251, 1.401
47.974, 74.222, 0.914
48.340, 74.193, 0.434
48.706, 74.165, -0.040
49.072, 74.136, -0.508
49.438, 74.107, -0.971
49.805, 74.078, -1.428
50.171, 74.049, -1.879
50.537, 74.021, -2.325
50.903, 73.992, -2.764
51.270, 73.963, -3.198
51.636, 73.934, -3.627
52.002, 73.905, -4.051
52.368, 73.876, -4.469
52.734, 73.847, -4.883
53.101, 73.818, -5.291
53.467, 73.790, -5.695
53.833, 73.761, -6.094
54.199, 73.732, -6.490
54.565, 73.703, -6.881
54.932, 73.674, -7.267
55.298, 73.646, -7.649
55.664, 73.617, -8.026
56.030, 73.588, -8.398
56.396, 73.559, -8.766
56.763, 73.530, -9.131
57.129, 73.502, -9.491
57.495, 73.473, -9.848
57.861, 73.444, -10.200
58.228, 73.416, -10.549
58.594, 73.387, -10.894
58.960, 73.358, -11.236
59.326, 73.330, -11.573
59.692, 73.301, -11.907
60.059, 73.273, -12.237
60.425, 73.244, -12.564
60.791, 73.216, -12.887
61.157, 73.187, -13.207
61.523, 73.159, -13.524
61.890, 73.130, -13.837
62.256, 73.102, -14.146
62.622, 73.073, -14.452
62.988, 73.045, -14.755
63.354, 73.017, -15.056
63.721, 72.989, -15.354
64.087, 72.960, -15.649
64.453, 72.932, -15.940
64.819, 72.904, -16.228
65.186, 72.876, -16.513
65.552, 72.848, -16.795
65.918, 72.820, -17.075
66.284, 72.792, -17.352
66.650, 72.764, -17.627
67.017, 72.736, -17.898
67.383, 72.708, -18.167
67.749, 72.680, -18.434
68.115, 72.653, -18.698
68.481, 72.625, -18.959
68.848, 72.597, -19.218
69.214, 72.569, -19.474
69.580, 72.542, -19.727
69.946, 72.514, -19.978
70.312, 72.487, -20.227
70.679, 72.459, -20.473
71.045, 72.432, -20.717
71.411, 72.404, -20.959
71.777, 72.377, -21.198
72.144, 72.350, -21.435
72.510, 72.323, -21.670
72.876, 72.295, -21.903
73.242, 72.268, -22.134
73.608, 72.241, -22.363
73.975, 72.214, -22.589
74.341, 72.187, -22.813
74.707, 72.160, -23.035
75.073, 72.133, -23.254
75.439, 72.106, -23.472
75.806, 72.079, -23.688
76.172, 72.053, -23.902
76.538, 72.026, -24.114
76.904, 71.999, -24.324
77.271, 71.973, -24.533
77.637, 71.946, -24.740
78.003, 71.920, -24.945
78.369, 71.893, -25.148
78.735, 71.867, -25.350
79.102, 71.840, -25.549
79.468, 71.814, -25.746
79.834, 71.787, -25.942
80.200, 71.761, -26.135
80.566, 71.735, -26.327
80.933, 71.709, -26.517
81.299, 71.683, -26.706
81.665, 71.657, -26.894
82.031, 71.631, -27.080
82.397, 71.605, -27.264
82.764, 71.579, -27.447
83.130, 71.553, -27.627
83.496, 71.528, -27.807
83.862, 71.502, -27.984
84.229, 71.476, -28.161
84.595, 71.451, -28.336
84.961, 71.425, -28.509
85.327, 71.400, -28.681
85.693, 71.374, -28.850
86.060, 71.349, -29.019
86.426, 71.323, -29.186
86.792, 71.298, -29.352
87.158, 71.273, -29.517
87.524, 71.248, -29.680
87.891, 71.223, -29.842
88.257, 71.198, -30.002
88.623, 71.173, -30.161
88.989, 71.148, -30.319
89.355, 71.123, -30.476
89.722, 71.098, -30.632
90.088, 71.073, -30.786
90.454, 71.048, -30.938
90.820, 71.024, -31.089
91.187, 70.999, -31.239
91.553, 70.975, -31.388
91.919, 70.950, -31.536
92.285, 70.926, -31.683
92.651, 70.901, -31.828
93.018, 70.877, -31.973
93.384, 70.853, -32.116
93.750, 70.828, -32.257
94.116, 70.804, -32.398
94.482, 70.780, -32.537
94.849, 70.756, -32.675
95.215, 70.732, -32.813
95.581, 70.708, -32.949
95.947, 70.684, -33.084
96.313, 70.660, -33.218
96.680, 70.636, -33.351
97.046, 70.613, -33.483
97.412, 70.589, -33.614
97.778, 70.565, -33.743
98.145, 70.542, -33.872
98.511, 70.518, -33.999
98.877, 70.495, -34.126
99.243, 70.471, -34.253
99.609, 70.448, -34.378
99.976, 70.424, -34.501
100.342, 70.401, -34.623
100.708, 70.378, -34.744
101.074, 70.355, -34.864
101.440, 70.332, -34.984
101.807, 70.309, -35.104
102.173, 70.286, -35.223
102.539, 70.263, -35.340
102.905, 70.240, -35.456
103.271, 70.217, -35.571
103.638, 70.194, -35.685
104.004, 70.171, -35.798
104.370, 70.149, -35.910
104.736, 70.126, -36.022
105.103, 70.104, -36.134
105.469, 70.081, -36.244
105.835, 70.059, -36.353
106.201, 70.036, -36.461
106.567, 70.014, -36.568
106.934, 69.991, -36.675
107.300, 69.969, -36.781
107.666, 69.947, -36.886
108.032, 69.925, -36.991
108.398, 69.903, -37.095
108.765, 69.881, -37.198
109.131, 69.859, -37.299
109.497, 69.837, -37.400
109.863, 69.815, -37.501
110.229, 69.793, -37.600
110.596, 69.771, -37.700
110.962, 69.749, -37.798
111.328, 69.728, -37.895
111.694, 69.706, -37.992
112.061, 69.684, -38.087
112.427, 69.663, -38.182
112.793, 69.641, -38.277
113.159, 69.620, -38.371
113.525, 69.598, -38.464
113.892, 69.577, -38.557
114.258, 69.556, -38.649
114.624, 69.534, -38.739
114.990, 69.513, -38.829
115.356, 69.492, -38.918
115.723, 69.471, -39.006
116.089, 69.450, -39.095
116.455, 69.429, -39.183
116.821, 69.408, -39.271
117.188, 69.387, -39.357
117.554, 69.366, -39.443
117.920, 69.345, -39.528
118.286, 69.325, -39.612
118.652, 69.304, -39.697
119.019, 69.283, -39.780
119.385, 69.263, -39.863
119.751, 69.242, -39.944
120.117, 69.221, -40.026
120.483, 69.201, -40.107
120.850, 69.181, -40.187
121.216, 69.160, -40.268
121.582, 69.140, -40.347
121.948, 69.119, -40.425
122.314, 69.099, -40.503
122.681, 69.079, -40.580
123.047, 69.059, -40.656
123.413, 69.039, -40.732
123.779, 69.019, -40.808
124.146, 68.999, -40.883
124.512, 68.979, -40.958
124.878, 68.959, -41.032
125.244, 68.939, -41.106
125.610, 68.919, -41.179
125.977, 68.900, -41.252
126.343, 68.880, -41.323
126.709, 68.860, -41.395
127.075, 68.841, -41.465
127.441, 68.821, -41.536
127.808, 68.801, -41.606
128.174, 68.782, -41.675
128.540, 68.763, -41.744
128.906, 68.743, -41.812
129.272, 68.724, -41.880
129.639, 68.705, -41.947
130.005, 68.685, -42.014
130.371, 68.666, -42.081
130.737, 68.647, -42.147
131.104, 68.628, -42.212
131.470, 68.609, -42.277
131.836, 68.590, -42.342
132.202, 68.571, -42.406
132.568, 68.552, -42.471
132.935, 68.533, -42.534
133.301, 68.514, -42.597
133.667, 68.495, -42.659
134.033, 68.476, -42.720
134.399, 68.457, -42.781
134.766, 68.439, -42.842
135.132, 68.420, -42.902
135.498, 68.402, -42.962
135.864, 68.383, -43.022
136.230, 68.365, -43.082
136.597, 68.346, -43.141
136.963, 68.328, -43.199
137.329, 68.309, -43.258
137.695, 68.291, -43.315
138.062, 68.272, -43.372
138.428, 68.254, -43.428
138.794, 68.236, -43.484
139.160, 68.218, -43.540
139.526, 68.200, -43.596
139.893, 68.182, -43.651
140.259, 68.164, -43.706
140.625, 68.145, -43.760
140.991, 68.128, -43.814
141.357, 68.110, -43.868
141.724, 68.092, -43.921
142.090, 68.074, -43.975
142.456, 68.056, -44.028
142.822, 68.038, -44.080
143.188, 68.020, -44.132
143.555, 68.003, -44.183
143.921, 67.985, -44.233
144.287, 67.967, -44.284
144.653, 67.950, -44.334
145.020, 67.932, -44.384
145.386, 67.915, -44.434
145.752, 67.897, -44.484
146.118, 67.880, -44.532
146.484, 67.863, -44.581
146.851, 67.845, -44.629
147.217, 67.828, -44.677
147.583, 67.811, -44.725
147.949, 67.793, -44.772
148.315, 67.776, -44.818
148.682, 67.759, -44.864
149.048, 67.742, -44.910
149.414, 67.725, -44.955
149.780, 67.708, -45.002
150.146, 67.691, -45.048
150.513, 67.674, -45.094
150.879, 67.657, -45.139
151.245, 67.640, -45.183
151.611, 67.623, -45.227
151.978, 67.607, -45.269
152.344, 67.590, -45.312
152.710, 67.573, -45.355
153.076, 67.557, -45.398
153.442, 67.540, -45.441
153.809, 67.523, -45.483
154.175, 67.507, -45.524
154.541, 67.490, -45.566
154.907, 67.474, -45.607
155.273, 67.457, -45.648
155.640, 67.441, -45.689
156.006, 67.424, -45.729
156.372, 67.408, -45.769
156.738, 67.392, -45.809
157.104, 67.375, -45.848
157.471, 67.359, -45.887
157.837, 67.343, -45.926
158.203, 67.327, -45.965
158.569, 67.311, -46.004
158.936, 67.295, -46.042
159.302, 67.279, -46.081
159.668, 67.263, -46.118
160.034, 67.247, -46.156
160.400, 67.231, -46.193
160.767, 67.215, -46.229
161.133, 67.199, -46.266
161.499, 67.183, -46.302
161.865, 67.167, -46.338
162.231, 67.151, -46.374
162.598, 67.136, -46.410
162.964, 67.120, -46.445
163.330, 67.104, -46.480
163.696, 67.089, -46.515
164.062, 67.073, -46.549
164.429, 67.057, -46.584
164.795, 67.042, -46.618
165.161, 67.027, -46.652
165.527, 67.011, -46.686
165.894, 66.996, -46.719
166.260, 66.980, -46.752
166.626, 66.965, -46.785
166.992, 66.949, -46.818
167.358, 66.934, -46.850
167.725, 66.919, -46.882
168.091, 66.904, -46.914
168.457, 66.888, -46.945
168.823, 66.873, -46.976
169.189, 66.858, -47.007
169.556, 66.843, -47.038
169.922, 66.828, -47.069
170.288, 66.813, -47.100
170.654, 66.798, -47.131
171.021, 66.783, -47.161
171.387, 66.768, -47.191
171.753, 66.753, -47.221
172.119, 66.738, -47.250
172.485, 66.724, -47.280
172.852, 66.709, -47.309
173.218, 66.694, -47.338
173.584, 66.679, -47.367
173.950, 66.664, -47.395
174.316, 66.650, -47.423
174.683, 66.635, -47.450
175.049, 66.620, -47.478
175.415, 66.606, -47.506
175.781, 66.591, -47.534
176.147, 66.577, -47.561
176.514, 66.562, -47.589
176.880, 66.548, -47.616
177.246, 66.533, -47.643
177.612, 66.519, -47.670
177.979, 66.505, -47.696
178.345, 66.490, -47.721
178.711, 66.476, -47.747
179.077, 66.462, -47.773
179.443, 66.447, -47.798
179.810, 66.433, -47.823
180.176, 66.419, -47.849
180.542, 66.405, -47.873
180.908, 66.391, -47.897
181.274, 66.377, -47.922
181.641, 66.363, -47.946
182.007, 66.349, -47.970
182.373, 66.335, -47.995
182.739, 66.321, -48.018
183.105, 66.307, -48.042
183.472, 66.293, -48.066
183.838, 66.279, -48.089
184.204, 66.265, -48.113
184.570, 66.251, -48.136
184.937, 66.237, -48.159
185.303, 66.224, -48.182
185.669, 66.210, -48.204
186.035, 66.196, -48.227
186.401, 66.182, -48.249
186.768, 66.169, -48.271
187.134, 66.155, -48.293
187.500, 66.141, -48.314
187.866, 66.128, -48.335
188.232, 66.114, -48.356
188.599, 66.101, -48.377
188.965, 66.087, -48.399
189.331, 66.074, -48.419
189.697, 66.061, -48.440
190.063, 66.047, -48.461
190.430, 66.034, -48.482
190.796, 66.020, -48.502
191.162, 66.007, -48.522
191.528, 65.994, -48.542
191.895, 65.980, -48.561
192.261, 65.967, -48.580
192.627, 65.954, -48.599
192.993, 65.941, -48.619
193.359, 65.928, -48.639
193.726, 65.915, -48.658
194.092, 65.901, -48.677
