Freq(Hz), Fundamental (dB), THD (%)
10.000, 69.434, 0.0158
10.293, 69.812, 0.0150
10.595, 70.248, 0.0134
10.905, 70.687, 0.0133
11.225, 71.116, 0.0136
11.554, 71.530, 0.0124
11.892, 71.925, 0.0103
12.241, 72.301, 0.0103
12.599, 72.657, 0.0105
12.968, 72.992, 0.0090
13.348, 73.306, 0.0087
13.740, 73.598, 0.0094
14.142, 73.869, 0.0103
14.557, 74.118, 0.0105
14.983, 74.346, 0.0101
15.422, 74.554, 0.0099
15.874, 74.741, 0.0115
16.339, 74.909, 0.0151
16.818, 75.058, 0.0155
17.311, 75.190, 0.0120
17.818, 75.305, 0.0100
18.340, 75.404, 0.0088
18.877, 75.488, 0.0081
19.431, 75.558, 0.0077
20.000, 75.616, 0.0066
20.586, 75.662, 0.0056
21.189, 75.697, 0.0050
21.810, 75.722, 0.0046
22.449, 75.738, 0.0052
23.107, 75.746, 0.0056
23.784, 75.745, 0.0055
24.481, 75.738, 0.0073
25.198, 75.723, 0.0088
25.937, 75.703, 0.0044
26.697, 75.676, 0.0035
27.479, 75.644, 0.0038
28.284, 75.607, 0.0037
29.113, 75.565, 0.0036
29.966, 75.519, 0.0044
30.844, 75.468, 0.0031
31.748, 75.413, 0.0029
32.678, 75.354, 0.0028
33.636, 75.291, 0.0030
34.621, 75.225, 0.0026
35.636, 75.154, 0.0027
36.680, 75.080, 0.0028
37.755, 75.002, 0.0037
38.861, 74.921, 0.0024
40.000, 74.836, 0.0022
41.172, 74.748, 0.0021
42.379, 74.656, 0.0022
43.620, 74.560, 0.0026
44.898, 74.462, 0.0021
46.214, 74.359, 0.0021
47.568, 74.253, 0.0018
48.962, 74.144, 0.0032
50.397, 74.031, 0.0053
51.874, 73.915, 0.0028
53.394, 73.795, 0.0018
54.958, 73.672, 0.0022
56.569, 73.546, 0.0022
58.226, 73.416, 0.0027
59.932, 73.282, 0.0023
61.688, 73.146, 0.0022
63.496, 73.006, 0.0022
65.357, 72.863, 0.0020
67.272, 72.717, 0.0023
69.243, 72.567, 0.0026
71.272, 72.415, 0.0026
73.360, 72.259, 0.0029
75.510, 72.101, 0.0045
77.723, 71.940, 0.0027
80.000, 71.776, 0.0025
82.344, 71.609, 0.0022
84.757, 71.440, 0.0021
87.241, 71.268, 0.0026
89.797, 71.093, 0.0022
92.428, 70.916, 0.0021
95.137, 70.737, 0.0019
97.924, 70.556, 0.0019
100.794, 70.373, 0.0026
103.747, 70.188, 0.0022
