Freq(Hz), Fundamental (dB), THD (%)
10.000, 69.437, 0.0150
10.293, 69.814, 0.0145
10.595, 70.251, 0.0147
10.905, 70.689, 0.0151
11.225, 71.118, 0.0146
11.554, 71.531, 0.0137
11.892, 71.927, 0.0120
12.241, 72.303, 0.0097
12.599, 72.658, 0.0084
12.968, 72.993, 0.0085
13.348, 73.307, 0.0089
13.740, 73.599, 0.0088
14.142, 73.869, 0.0088
14.557, 74.119, 0.0093
14.983, 74.347, 0.0089
15.422, 74.554, 0.0086
15.874, 74.741, 0.0081
16.339, 74.909, 0.0064
16.818, 75.058, 0.0059
17.311, 75.190, 0.0077
17.818, 75.305, 0.0083
18.340, 75.404, 0.0078
18.877, 75.488, 0.0082
19.431, 75.558, 0.0076
20.000, 75.616, 0.0064
20.586, 75.662, 0.0060
21.189, 75.697, 0.0058
21.810, 75.722, 0.0055
22.449, 75.738, 0.0048
23.107, 75.745, 0.0045
23.784, 75.745, 0.0044
24.481, 75.737, 0.0051
25.198, 75.723, 0.0053
25.937, 75.702, 0.0042
26.697, 75.675, 0.0037
27.479, 75.643, 0.0032
28.284, 75.606, 0.0027
29.113, 75.565, 0.0033
29.966, 75.518, 0.0032
30.844, 75.468, 0.0030
31.748, 75.413, 0.0027
32.678, 75.354, 0.0020
33.636, 75.291, 0.0018
34.621, 75.224, 0.0017
35.636, 75.154, 0.0018
36.680, 75.079, 0.0021
37.755, 75.002, 0.0019
38.861, 74.920, 0.0020
40.000, 74.836, 0.0020
41.172, 74.747, 0.0020
42.379, 74.655, 0.0022
43.620, 74.560, 0.0026
44.898, 74.461, 0.0026
46.214, 74.359, 0.0022
47.568, 74.253, 0.0023
48.962, 74.143, 0.0022
50.397, 74.031, 0.0025
51.874, 73.914, 0.0019
53.394, 73.795, 0.0021
54.958, 73.671, 0.0022
56.569, 73.545, 0.0022
58.226, 73.415, 0.0026
59.932, 73.282, 0.0025
61.688, 73.145, 0.0020
63.496, 73.005, 0.0021
65.357, 72.862, 0.0020
67.272, 72.716, 0.0020
69.243, 72.567, 0.0022
71.272, 72.414, 0.0022
73.360, 72.259, 0.0022
75.510, 72.100, 0.0026
77.723, 71.939, 0.0024
80.000, 71.775, 0.0023
82.344, 71.608, 0.0023
84.757, 71.439, 0.0025
87.241, 71.267, 0.0023
89.797, 71.093, 0.0021
92.428, 70.916, 0.0019
95.137, 70.737, 0.0020
97.924, 70.556, 0.0022
100.794, 70.372, 0.0024
103.747, 70.187, 0.0019
106.787, 70.000, 0.0017
