Freq(Hz), SPL(dB), Phase(degrees)
9.888, 68.613, -167.580
10.254, 69.241, -173.381
10.620, 69.825, -179.007
10.986, 70.366, 175.532
11.353, 70.868, 170.230
11.719, 71.332, 165.079
12.085, 71.761, 160.075
12.451, 72.156, 155.213
12.817, 72.518, 150.492
13.184, 72.851, 145.911
13.550, 73.154, 141.467
13.916, 73.432, 137.161
14.282, 73.684, 132.989
14.648, 73.913, 128.950
15.015, 74.121, 125.042
15.381, 74.308, 121.264
15.747, 74.478, 117.611
16.113, 74.630, 114.082
16.479, 74.767, 110.672
16.846, 74.889, 107.379
17.212, 74.999, 104.199
17.578, 75.096, 101.130
17.944, 75.183, 98.166
18.311, 75.259, 95.305
18.677, 75.327, 92.541
19.043, 75.386, 89.872
19.409, 75.439, 87.293
19.775, 75.484, 84.800
20.142, 75.523, 82.390
20.508, 75.557, 80.059
20.874, 75.585, 77.804
21.240, 75.609, 75.622
21.606, 75.628, 73.509
21.973, 75.644, 71.462
22.339, 75.656, 69.478
22.705, 75.665, 67.554
23.071, 75.671, 65.689
23.438, 75.675, 63.879
23.804, 75.676, 62.122
24.170, 75.674, 60.416
24.536, 75.671, 58.758
24.902, 75.666, 57.145
25.269, 75.660, 55.577
25.635, 75.651, 54.051
26.001, 75.641, 52.565
26.367, 75.630, 51.118
26.733, 75.618, 49.708
27.100, 75.604, 48.334
27.466, 75.590, 46.994
27.832, 75.574, 45.687
28.198, 75.558, 44.412
28.564, 75.541, 43.167
28.931, 75.523, 41.951
29.297, 75.504, 40.763
29.663, 75.485, 39.601
30.029, 75.465, 38.465
30.396, 75.444, 37.354
30.762, 75.423, 36.267
31.128, 75.402, 35.203
31.494, 75.380, 34.162
31.860, 75.357, 33.143
32.227, 75.334, 32.144
32.593, 75.311, 31.166
32.959, 75.287, 30.207
33.325, 75.263, 29.268
33.691, 75.239, 28.347
34.058, 75.215, 27.443
34.424, 75.190, 26.556
34.790, 75.165, 25.685
35.156, 75.139, 24.830
35.522, 75.114, 23.991
35.889, 75.088, 23.168
36.255, 75.062, 22.359
36.621, 75.036, 21.564
36.987, 75.010, 20.782
37.354, 74.983, 20.014
37.720, 74.957, 19.258
38.086, 74.930, 18.516
38.452, 74.903, 17.787
38.818, 74.876, 17.070
39.185, 74.848, 16.365
39.551, 74.821, 15.670
39.917, 74.794, 14.985
40.283, 74.766, 14.311
40.649, 74.738, 13.648
41.016, 74.710, 12.996
41.382, 74.682, 12.354
41.748, 74.654, 11.722
42.114, 74.626, 11.099
42.480, 74.598, 10.485
42.847, 74.570, 9.880
43.213, 74.542, 9.283
43.579, 74.513, 8.695
43.945, 74.485, 8.115
44.312, 74.456, 7.544
44.678, 74.428, 6.981
45.044, 74.399, 6.426
45.410, 74.371, 5.878
45.776, 74.342, 5.338
46.143, 74.313, 4.805
46.509, 74.285, 4.278
46.875, 74.256, 3.759
47.241, 74.227, 3.247
47.607, 74.198, 2.743
47.974, 74.169, 2.246
48.340, 74.141, 1.756
48.706, 74.112, 1.270
49.072, 74.084, 0.789
49.438, 74.055, 0.311
49.805, 74.026, -0.160
50.171, 73.996, -0.622
50.537, 73.967, -1.076
50.903, 73.937, -1.521
51.270, 73.909, -1.962
51.636, 73.880, -2.399
52.002, 73.851, -2.833
52.368, 73.822, -3.262
52.734, 73.793, -3.686
53.101, 73.764, -4.104
53.467, 73.735, -4.516
53.833, 73.706, -4.923
54.199, 73.677, -5.327
54.565, 73.648, -5.726
54.932, 73.619, -6.121
55.298, 73.590, -6.511
55.664, 73.561, -6.896
56.030, 73.532, -7.276
56.396, 73.504, -7.653
56.763, 73.475, -8.025
57.129, 73.446, -8.394
57.495, 73.417, -8.758
57.861, 73.388, -9.118
58.228, 73.360, -9.475
58.594, 73.331, -9.827
58.960, 73.302, -10.176
59.326, 73.273, -10.520
59.692, 73.245, -10.861
60.059, 73.216, -11.197
60.425, 73.187, -11.530
60.791, 73.159, -11.860
61.157, 73.130, -12.187
61.523, 73.102, -12.510
61.890, 73.073, -12.830
62.256, 73.045, -13.146
62.622, 73.016, -13.458
62.988, 72.988, -13.768
63.354, 72.960, -14.075
63.721, 72.931, -14.378
64.087, 72.903, -14.679
64.453, 72.874, -14.976
64.819, 72.846, -15.269
65.186, 72.818, -15.560
65.552, 72.790, -15.848
65.918, 72.762, -16.134
66.284, 72.734, -16.416
66.650, 72.706, -16.696
67.017, 72.678, -16.973
67.383, 72.650, -17.247
67.749, 72.622, -17.519
68.115, 72.594, -17.787
68.481, 72.566, -18.053
68.848, 72.538, -18.317
69.214, 72.510, -18.578
69.580, 72.483, -18.837
69.946, 72.455, -19.093
70.312, 72.428, -19.347
70.679, 72.400, -19.598
71.045, 72.372, -19.847
71.411, 72.345, -20.093
71.777, 72.317, -20.336
72.144, 72.290, -20.577
72.510, 72.263, -20.816
72.876, 72.235, -21.053
73.242, 72.208, -21.289
73.608, 72.181, -21.522
73.975, 72.154, -21.753
74.341, 72.127, -21.982
74.707, 72.100, -22.208
75.073, 72.073, -22.432
75.439, 72.046, -22.654
75.806, 72.019, -22.874
76.172, 71.992, -23.093
76.538, 71.965, -23.309
76.904, 71.938, -23.523
77.271, 71.912, -23.735
77.637, 71.885, -23.945
78.003, 71.859, -24.153
78.369, 71.832, -24.360
78.735, 71.806, -24.565
79.102, 71.779, -24.769
79.468, 71.753, -24.970
79.834, 71.726, -25.169
80.200, 71.700, -25.366
80.566, 71.674, -25.561
80.933, 71.648, -25.755
81.299, 71.622, -25.948
81.665, 71.596, -26.139
82.031, 71.570, -26.328
82.397, 71.543, -26.515
82.764, 71.518, -26.701
83.130, 71.492, -26.885
83.496, 71.466, -27.067
83.862, 71.440, -27.248
84.229, 71.414, -27.427
84.595, 71.389, -27.605
84.961, 71.363, -27.782
85.327, 71.338, -27.957
85.693, 71.312, -28.131
86.060, 71.287, -28.303
86.426, 71.261, -28.473
86.792, 71.236, -28.641
87.158, 71.211, -28.809
87.524, 71.186, -28.975
87.891, 71.160, -29.140
88.257, 71.135, -29.303
88.623, 71.110, -29.465
88.989, 71.085, -29.625
89.355, 71.060, -29.784
89.722, 71.035, -29.942
90.088, 71.011, -30.098
90.454, 70.986, -30.253
90.820, 70.961, -30.407
91.187, 70.937, -30.560
91.553, 70.912, -30.712
91.919, 70.888, -30.863
92.285, 70.863, -31.012
92.651, 70.838, -31.160
93.018, 70.814, -31.306
93.384, 70.790, -31.450
93.750, 70.765, -31.595
94.116, 70.741, -31.738
94.482, 70.717, -31.880
94.849, 70.693, -32.022
95.215, 70.669, -32.161
95.581, 70.645, -32.300
