Freq(Hz), Fundamental (dB), THD (%)
10.000, 68.947, 0.0179
10.293, 69.335, 0.0169
10.595, 69.783, 0.0147
10.905, 70.235, 0.0125
11.225, 70.678, 0.0107
11.554, 71.107, 0.0092
11.892, 71.519, 0.0088
12.241, 71.912, 0.0104
12.599, 72.285, 0.0106
12.968, 72.638, 0.0077
13.348, 72.971, 0.0051
13.740, 73.282, 0.0061
14.142, 73.572, 0.0074
14.557, 73.840, 0.0075
14.983, 74.087, 0.0070
15.422, 74.312, 0.0064
15.874, 74.517, 0.0057
16.339, 74.702, 0.0051
16.818, 74.867, 0.0047
17.311, 75.014, 0.0048
17.818, 75.143, 0.0066
18.340, 75.255, 0.0072
18.877, 75.351, 0.0075
19.431, 75.433, 0.0065
20.000, 75.501, 0.0062
20.586, 75.556, 0.0061
21.189, 75.599, 0.0059
21.810, 75.632, 0.0060
22.449, 75.654, 0.0056
23.107, 75.667, 0.0046
23.784, 75.672, 0.0051
24.481, 75.668, 0.0071
25.198, 75.658, 0.0089
25.937, 75.640, 0.0052
26.697, 75.616, 0.0041
27.479, 75.587, 0.0037
28.284, 75.552, 0.0037
29.113, 75.512, 0.0034
29.966, 75.467, 0.0032
30.844, 75.417, 0.0026
31.748, 75.362, 0.0028
32.678, 75.304, 0.0030
33.636, 75.241, 0.0027
34.621, 75.175, 0.0026
35.636, 75.105, 0.0028
36.680, 75.031, 0.0029
37.755, 74.953, 0.0027
38.861, 74.871, 0.0032
40.000, 74.786, 0.0029
41.172, 74.697, 0.0027
42.379, 74.605, 0.0029
43.620, 74.509, 0.0033
44.898, 74.410, 0.0024
46.214, 74.307, 0.0021
47.568, 74.200, 0.0025
48.962, 74.091, 0.0035
50.397, 73.977, 0.0043
51.874, 73.861, 0.0025
53.394, 73.740, 0.0025
54.958, 73.616, 0.0027
56.569, 73.489, 0.0031
58.226, 73.359, 0.0037
59.932, 73.225, 0.0034
61.688, 73.088, 0.0025
63.496, 72.948, 0.0030
65.357, 72.804, 0.0031
67.272, 72.657, 0.0032
69.243, 72.508, 0.0035
71.272, 72.355, 0.0031
73.360, 72.199, 0.0031
75.510, 72.040, 0.0033
77.723, 71.878, 0.0032
80.000, 71.714, 0.0029
82.344, 71.547, 0.0030
84.757, 71.377, 0.0031
87.241, 71.205, 0.0037
89.797, 71.030, 0.0030
92.428, 70.853, 0.0028
95.137, 70.674, 0.0026
97.924, 70.492, 0.0030
100.794, 70.309, 0.0038
103.747, 70.123, 0.0025
106.787, 69.936, 0.0023
109.916, 69.747, 0.0030
113.137, 69.557, 0.0032
116.452, 69.365, 0.0045
119.865, 69.171, 0.0024
123.377, 68.976, 0.0025
126.992, 68.780, 0.0024
130.713, 68.583, 0.0024
134.543, 68.385, 0.0023
138.486, 68.187, 0.0024
142.544, 67.987, 0.0032
146.721, 67.787, 0.0031
151.020, 67.586, 0.0038
155.445, 67.385, 0.0025
160.000, 67.184, 0.0024
164.688, 66.982, 0.0029
169.514, 66.780, 0.0029
