Freq(Hz), Fundamental (dB), THD (%)
10.000, 0.000, 0.0463
10.293, 0.000, 0.0460
10.595, 0.000, 0.0457
10.905, 0.000, 0.0463
11.225, 0.000, 0.0475
11.554, 0.000, 0.0488
11.892, 0.000, 0.0493
12.241, 0.000, 0.0487
12.599, 0.000, 0.0470
12.968, 0.000, 0.0453
13.348, 0.000, 0.0447
13.740, 0.000, 0.0443
14.142, 0.000, 0.0428
14.557, 0.000, 0.0415
14.983, 0.000, 0.0418
15.422, 0.000, 0.0416
15.874, 0.000, 0.0404
16.339, 0.000, 0.0395
16.818, 0.000, 0.0389
17.311, 0.000, 0.0379
17.818, 0.000, 0.0365
18.340, 0.000, 0.0354
18.877, 0.000, 0.0345
19.431, 0.000, 0.0331
20.000, 0.000, 0.0322
20.586, 0.000, 0.0318
21.189, 0.000, 0.0300
21.810, 0.000, 0.0281
22.449, 0.000, 0.0278
23.107, 0.000, 0.0281
23.784, 0.000, 0.0267
24.481, 0.000, 0.0244
25.198, 0.000, 0.0230
25.937, 0.000, 0.0217
26.697, 0.000, 0.0209
27.479, 0.000, 0.0198
28.284, 0.000, 0.0187
29.113, 0.000, 0.0178
29.966, 0.000, 0.0172
30.844, 0.000, 0.0157
31.748, 0.000, 0.0145
32.678, 0.000, 0.0136
33.636, 0.000, 0.0131
34.621, 0.000, 0.0126
35.636, 0.000, 0.0120
36.680, 0.000, 0.0112
37.755, 0.000, 0.0106
38.861, 0.000, 0.0104
40.000, 0.000, 0.0098
41.172, 0.000, 0.0090
42.379, 0.000, 0.0082
43.620, 0.000, 0.0077
44.898, 0.000, 0.0076
46.214, 0.000, 0.0066
47.568, 0.000, 0.0063
48.962, 0.000, 0.0059
50.397, 0.000, 0.0054
51.874, 0.000, 0.0048
53.394, 0.000, 0.0047
54.958, 0.000, 0.0041
56.569, 0.000, 0.0038
58.226, 0.000, 0.0036
59.932, 0.000, 0.0036
61.688, 0.000, 0.0033
63.496, 0.000, 0.0030
65.357, 0.000, 0.0027
67.272, 0.000, 0.0024
69.243, 0.000, 0.0024
71.272, 0.000, 0.0021
73.360, 0.000, 0.0022
75.510, 0.000, 0.0020
77.723, 0.000, 0.0018
80.000, 0.000, 0.0016
82.344, 0.000, 0.0017
84.757, 0.000, 0.0018
87.241, 0.000, 0.0017
89.797, 0.000, 0.0018
92.428, 0.000, 0.0019
95.137, 0.000, 0.0019
97.924, 0.000, 0.0017
100.794, 0.000, 0.0017
103.747, 0.000, 0.0018
106.787, 0.000, 0.0020
109.916, 0.000, 0.0020
113.137, 0.000, 0.0019
116.452, 0.000, 0.0019
119.865, 0.000, 0.0019
123.377, 0.000, 0.0021
126.992, 0.000, 0.0022
130.713, 0.000, 0.0023
134.543, 0.000, 0.0021
138.486, 0.000, 0.0021
142.544, 0.000, 0.0022
146.721, 0.000, 0.0021
151.020, 0.000, 0.0023
155.445, 0.000, 0.0023
160.000, 0.000, 0.0023
164.688, 0.000, 0.0023
169.514, 0.000, 0.0025
174.481, 0.000, 0.0021
179.594, 0.000, 0.0023
184.856, 0.000, 0.0021
190.273, 0.000, 0.0021
195.849, 0.000, 0.0023
201.587, 0.000, 0.0022
207.494, 0.000, 0.0020
213.574, 0.000, 0.0021
219.833, 0.000, 0.0021
226.274, 0.000, 0.0023
232.905, 0.000, 0.0021
239.729, 0.000, 0.0022
246.754, 0.000, 0.0021
253.984, 0.000, 0.0020
261.426, 0.000, 0.0021
269.087, 0.000, 0.0021
276.972, 0.000, 0.0021
285.088, 0.000, 0.0021
293.441, 0.000, 0.0019
302.040, 0.000, 0.0021
310.890, 0.000, 0.0022
320.000, 0.000, 0.0021
329.377, 0.000, 0.0024
339.028, 0.000, 0.0024
348.962, 0.000, 0.0023
359.188, 0.000, 0.0023
369.713, 0.000, 0.0024
380.546, 0.000, 0.0022
391.697, 0.000, 0.0021
403.175, 0.000, 0.0021
414.989, 0.000, 0.0022
427.149, 0.000, 0.0024
439.665, 0.000, 0.0025
452.548, 0.000, 0.0025
465.809, 0.000, 0.0025
479.458, 0.000, 0.0025
493.507, 0.000, 0.0025
507.968, 0.000, 0.0024
522.853, 0.000, 0.0024
538.174, 0.000, 0.0025
553.943, 0.000, 0.0025
570.175, 0.000, 0.0023
586.883, 0.000, 0.0024
604.080, 0.000, 0.0026
621.780, 0.000, 0.0026
640.000, 0.000, 0.0027
658.753, 0.000, 0.0026
678.056, 0.000, 0.0027
697.925, 0.000, 0.0027
718.376, 0.000, 0.0026
739.426, 0.000, 0.0026
761.093, 0.000, 0.0027
783.394, 0.000, 0.0027
806.349, 0.000, 0.0028
829.977, 0.000, 0.0027
854.297, 0.000, 0.0027
879.330, 0.000, 0.0028
905.097, 0.000, 0.0029
931.618, 0.000, 0.0029
958.917, 0.000, 0.0029
987.015, 0.000, 0.0030
1015.937, 0.000, 0.0029
1045.706, 0.000, 0.0030
1076.347, 0.000, 0.0031
1107.887, 0.000, 0.0031
1140.350, 0.000, 0.0031
1173.765, 0.000, 0.0032
1208.159, 0.000, 0.0032
1243.561, 0.000, 0.0032
1280.000, 0.000, 0.0033
1317.507, 0.000, 0.0033
1356.113, 0.000, 0.0034
1395.850, 0.000, 0.0033
1436.751, 0.000, 0.0034
1478.851, 0.000, 0.0035
1522.185, 0.000, 0.0034
1566.789, 0.000, 0.0032
1612.699, 0.000, 0.0034
1659.955, 0.000, 0.0036
1708.595, 0.000, 0.0036
1758.661, 0.000, 0.0038
1810.193, 0.000, 0.0038
1863.236, 0.000, 0.0038
1917.833, 0.000, 0.0038
1974.030, 0.000, 0.0039
2031.873, 0.000, 0.0039
2091.412, 0.000, 0.0039
2152.695, 0.000, 0.0039
2215.774, 0.000, 0.0039
2280.701, 0.000, 0.0040
2347.530, 0.000, 0.0040
2416.318, 0.000, 0.0040
2487.122, 0.000, 0.0039
2560.000, 0.000, 0.0039
2635.014, 0.000, 0.0039
2712.226, 0.000, 0.0038
2791.700, 0.000, 0.0038
2873.503, 0.000, 0.0039
2957.703, 0.000, 0.0039
3044.370, 0.000, 0.0039
3133.577, 0.000, 0.0039
3225.398, 0.000, 0.0038
3319.909, 0.000, 0.0037
3417.190, 0.000, 0.0037
3517.321, 0.000, 0.0037
3620.387, 0.000, 0.0038
3726.472, 0.000, 0.0038
3835.666, 0.000, 0.0038
3948.060, 0.000, 0.0037
4063.747, 0.000, 0.0037
4182.824, 0.000, 0.0036
4305.390, 0.000, 0.0035
4431.547, 0.000, 0.0037
4561.401, 0.000, 0.0038
4695.061, 0.000, 0.0038
4832.637, 0.000, 0.0038
4974.244, 0.000, 0.0037
5120.000, 0.000, 0.0035
5270.027, 0.000, 0.0036
5424.451, 0.000, 0.0036
5583.399, 0.000, 0.0035
5747.006, 0.000, 0.0035
5915.406, 0.000, 0.0035
6088.740, 0.000, 0.0036
6267.154, 0.000, 0.0036
6450.796, 0.000, 0.0036
6639.818, 0.000, 0.0035
6834.380, 0.000, 0.0033
7034.643, 0.000, 0.0031
7240.773, 0.000, 0.0031
7452.944, 0.000, 0.0029
7671.332, 0.000, 0.0026
7896.120, 0.000, 0.0028
8127.493, 0.000, 0.0030
8365.647, 0.000, 0.0030
8610.779, 0.000, 0.0029
8863.095, 0.000, 0.0030
9122.803, 0.000, 0.0030
9390.121, 0.000, 0.0030
9665.273, 0.000, 0.0029
9948.487, 0.000, 0.0028
10240.000, 0.000, 0.0024
10540.055, 0.000, 0.0021
10848.902, 0.000, 0.0017
